,acc,site,main_class,sub_class_1,sub_class_all,binding_sites,area_a2,alpha_seeds,beta_seeds,hydrophobicity,pdbs
386,P56856,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[],[],[],[],[],[]
387,Q8N6F1,1,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[51],[1076.6226388323876],[6872],[4521],[29.9],[]
388,O95832,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[],[],[],[],[],[]
389,P56880,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[],[],[],[],[],[]
390,Q8N7P3,2,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,"[31, 158]","[1598.01725751089, 956.6820612315579]","[223, 464]","[1729, 1403]","[9.5, 3.39999]",[]
391,A6NM45,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[],[],[],[],[],[]
392,P57739,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[],[],[],[],[],['4YYX']
393,O15551,1,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[139],[1386.0361600297215],[1608],[2243],[7.89999],[]
394,O14493,1,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[47],[2889.525415625236],[6],[24],[14.0999],"['5B2G', '7KP4', '7TDM', '7TDN']"
395,P56747,1,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[32],[2333.7291938370918],[45],[241],[29.8999],[]
396,O95471,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[],[],[],[],[],[]
397,P56748,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[],[],[],[],[],[]
398,O95484,1,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Claudin,[45],[1082.3000009636526],[435],[939],[22.5],"['6OV2', '6OV3']"
399,Q9NY35,1,Unclassified,Unclassified,Unclassified,[27],[2021.1684561474663],[0],[107],[46.9],[]
400,Q8TDQ1,1,Receptors,IG,IG;OtherCD300,[118],[2407.7464742339744],[101],[886],[0.49999],['2NMS']
401,Q496F6,2,Receptors,IG,IG;OtherCD300,"[20, 7]","[2465.3250801827394, 928.9716626231159]","[266, 1]","[925, 8]","[-7.6, 19.2]",[]
402,Q08708,1,Receptors,IG,IG;OtherCD300,[183],[5004.624971083895],[256],[365],[35.6],[]
403,Q9UGN4,2,Receptors,IG,IG;OtherCD300,"[113, 260]","[6672.313639154204, 3003.8712433460623]","[1, 0]","[0, 58]","[30.7, 4.1]",['2Q87']
404,Q6UXG3,1,Receptors,IG,IG;OtherCD300,[275],[6398.577362824245],[0],[5],[44.8999],[]
405,Q9H6B4,3,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;IG_AdhesionProteins,"[165, 50, 6]","[1982.667656401306, 1071.6849084530231, 1012.022573302849]","[247, 4, 0]","[655, 5, 28]","[-25.6, 3.33066, 30.8]",[]
406,Q13286,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],[]
407,P58418,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],[]
408,A0PK11,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],[]
409,Q9Y271,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['6RZ4', '6RZ5']"
410,Q9NS75,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
411,Q99788,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
412,Q9NPU4,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],[]
413,Q9H8M5,3,Unclassified,Unclassified,Unclassified,"[627, 576, 273]","[3586.0785630772752, 3377.8406150652177, 7274.272656104766]","[1042, 70, 40]","[1345, 239, 307]","[10.5999, 16.7, 144.6]","['4IY0', '4IY2', '4IY4', '4IYS', '6DJ3', '6N7E']"
414,Q8NE01,2,Unclassified,Unclassified,Unclassified,"[582, 441]","[4105.369284305237, 946.219006291324]","[406, 57]","[930, 127]","[26.6, 10.0]","['5K22', '5K23', '5K25', '5TSR', '6DFD', '6MN6', '6WUR']"
415,Q6P4Q7,6,Unclassified,Unclassified,Unclassified,"[553, 503, 250, 217, 261, 80]","[3609.4209843443914, 3409.9416802952605, 5464.101319591285, 934.6387467043415, 776.1547057534139, 490.27791914658525]","[821, 86, 58, 0, 2, 1901]","[812, 335, 276, 46, 20, 3399]","[6.9, 16.3999, 133.599, 5.59999, 31.7, 3.09999]","['6G52', '6RS2']"
416,P21554,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['1LVQ', '1LVR', '2B0Y', '2KOE', '2MZ2', '2MZ3', '2MZA', '5TGZ', '5U09', '5XR8', '5XRA', '6KPG', '6KQI', '6N4B', '7FEE', '7V3Z', '7WV9']"
417,P34972,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['2KI9', '5ZTY', '6KPC', '6KPF', '6PT0']"
418,Q96NU0,3,Receptors,Other_receptors,Other_receptors;ContactinAssProt,"[1174, 620, 938]","[1023.9716791384194, 2743.8800166519786, 1836.949535375882]","[52, 0, 82]","[28, 31, 473]","[10.0, -20.7, -24.399]",[]
419,P26992,2,Receptors,IG,IG;Type1;CytokineR,"[201, 86]","[2238.2982749220187, 626.080630765957]","[4, 19]","[713, 1330]","[-4.7, 5.49999]","['1UC6', '8D74', '8D7E', '8D7H', '8D7R']"
420,Q12860,6,Unclassified,Unclassified,Unclassified,"[924, 223, 155, 783, 121, 328]","[503.82283769489595, 1564.9209667562666, 1519.0048447947993, 1312.4800344063106, 2519.748130843899, 3518.2870660477297]","[5, 14, 16, 0, 5, 1]","[74, 54, 1751, 504, 322, 33]","[2.5, -5.2, 4.6, 11.3999, -6.0, -1.1]","['2EE2', '3S97']"
421,Q02246,8,Unclassified,Unclassified,Unclassified,"[948, 719, 208, 151, 59, 352, 448, 428]","[1454.6912071880604, 3081.254682093624, 1689.0094162871974, 796.1753776030409, 695.5499709830873, 1439.4738753653946, 2317.7336390935075, 1274.4429104647634]","[13, 466, 171, 219, 51, 13, 14, 0]","[1970, 1834, 262, 759, 165, 75, 34, 5]","[-8.0, 0.99999, 1.69999, 6.3, 11.5, -4.3, 28.1, 11.4]",['2OM5']
422,Q9P232,6,Unclassified,Unclassified,Unclassified,"[197, 771, 737, 69, 403, 519]","[1973.4193506204606, 2757.7912604177363, 756.070232423353, 1044.4393492020295, 1277.5146899482734, 1310.093975393362]","[218, 824, 30, 35, 121, 88]","[2996, 1994, 199, 271, 852, 923]","[-5.4999, 12.2999, -1.1, -20.5, 24.4, -1.6]",['1WJ3']
423,Q8IWV2,6,Unclassified,Unclassified,Unclassified,"[401, 595, 142, 157, 736, 793]","[2039.0280225321799, 3843.58444091652, 621.9407097802265, 1038.7441459272995, 2383.707860520783, 852.772526735768]","[27, 5, 273, 323, 0, 6]","[825, 204, 2625, 2025, 7, 730]","[-1.4, 26.6, 8.3, 3.8, 5.7, -0.4999]",[]
424,O94779,10,Unclassified,Unclassified,Unclassified,"[381, 341, 589, 734, 215, 270, 713, 844, 935, 1062]","[883.8021537305581, 973.5656007134611, 795.8860407981546, 833.4637552954823, 595.5286422097963, 2679.8103372895744, 458.9380113958854, 1197.4853320546877, 1421.4977597717425, 1050.6748288429876]","[2, 40, 75, 281, 32, 40, 0, 214, 3, 270]","[411, 114, 480, 1463, 1149, 814, 165, 915, 137, 189]","[1.29999, -4.1, -1.1, 9.1, 4.1, 8.1, 3.79999, 6.5, 7.0, -2.2]","['4N68', '5E52']"
425,Q9UQ52,5,Unclassified,Unclassified,Unclassified,"[518, 587, 677, 402, 704]","[1083.3753177083536, 1556.4169469386602, 1375.6134415877566, 2967.852301796239, 4334.0390261685]","[154, 32, 60, 13, 136]","[1141, 376, 114, 188, 537]","[3.9, 6.0, 9.29999, -6.8, 19.0]",[]
426,P78357,7,Receptors,Other_receptors,Other_receptors;ContactinAssProt,"[51, 374, 269, 908, 937, 627, 1149]","[1526.2628934519541, 1634.8029803787574, 841.438358573317, 1564.5280737490955, 861.9498557936993, 1701.5437891986028, 933.7569675811396]","[0, 632, 41, 14, 87, 0, 0]","[9, 1341, 252, 5, 182, 260, 0]","[3.69999, -6.3, -7.4999, -21.6, 6.39999, -13.9, -7.1]",[]
427,Q9UHC6,5,Receptors,Other_receptors,Other_receptors;ContactinAssProt,"[684, 982, 945, 341, 372]","[2256.741750904259, 724.3287050192218, 796.9351776040759, 620.7628064606029, 1341.1550183146878]","[197, 0, 2, 14, 0]","[728, 41, 28, 213, 1]","[-22.299, -6.7, -1.1, -6.5, 0.89999]",['5Y4M']
428,Q9BZ76,3,Receptors,Other_receptors,Other_receptors;ContactinAssProt,"[811, 606, 1174]","[2680.993282671482, 1824.2179402590007, 896.4362043348]","[13, 2, 6]","[92, 51, 6]","[-25.299, -0.7, 6.0]",[]
429,Q9C0A0,5,Receptors,Other_receptors,Other_receptors;ContactinAssProt,"[526, 95, 811, 623, 683]","[1019.318825278075, 972.5635877973438, 2712.396797977144, 1927.0573939978456, 586.2260372966666]","[338, 589, 1, 103, 161]","[789, 2559, 6, 283, 228]","[14.8, -5.7, -24.899, -20.0, -9.9]",['4NXQ']
430,Q8WYK1,3,Receptors,Other_receptors,Other_receptors;ContactinAssProt,"[207, 515, 587]","[1690.5363854572197, 1272.6064362407205, 1169.5059588159666]","[28, 14, 57]","[239, 30, 375]","[-23.9, -10.7, 1.3]",[]
431,O15431,0,Transporters,SLC,SLC;Other;SLC31,[],[],[],[],[],"['2LS2', '2LS3', '2LS4']"
432,Q9Y5Q5,2,Enzymes,Hydrolases,3.4.21,"[688, 1008]","[2420.576583490857, 8911.848382888522]","[83, 0]","[326, 16]","[-0.2, 21.4]",[]
433,P17927,23,Unclassified,Unclassified,Unclassified,"[483, 1936, 1875, 45, 1897, 85, 560, 377, 146, 1837, 933, 640, 832, 1384, 161, 1736, 1422, 1405, 1092, 1271, 237, 1134, 1514]","[3362.0799040687643, 1265.311735669274, 1590.0030934366769, 924.6455731838395, 1472.9690708168348, 715.9144726953572, 1284.3565745415638, 2487.948037947089, 731.4985175864144, 1447.770588852958, 3178.194729035256, 1160.481830881266, 1554.014598186026, 1137.8988217642393, 962.1794605243948, 775.3927725721821, 896.6789990262997, 1064.1237542824388, 1363.1612930766667, 775.7362145838802, 781.9567619634603, 1042.585227759994, 976.0193397162927]","[8, 1054, 0, 1034, 37, 15, 10, 26, 48, 209, 258, 0, 94, 3, 1, 0, 10, 4874, 33, 5, 1038, 1958, 39]","[72, 824, 37, 1718, 146, 121, 4433, 114, 122, 624, 793, 34, 734, 21, 4, 84, 73, 6168, 1021, 2096, 3621, 3560, 341]","[7.19999, 8.1, 19.7, 1.29999, -10.9, 9.9, 2.19999, 4.6, -2.0, 10.8999, 16.5, -2.2, 7.1, 0.2, 8.5, 7.2, 4.8, -0.2, 7.6, 13.2999, 10.0, 10.8999, 12.9]","['1GKG', '1GKN', '1PPQ', '2MCY', '2MCZ', '2Q7Z', '5FO9']"
434,P20023,9,Unclassified,Unclassified,Unclassified,"[873, 465, 592, 713, 265, 143, 27, 64, 56]","[3257.41852051631, 4652.53175013471, 1698.679509970608, 2588.5957459963747, 2434.4791006103546, 1213.5534149249647, 1073.846013917937, 650.4401911360419, 1547.6681931748296]","[3, 2, 2, 156, 2698, 164, 0, 0, 1]","[55, 15, 61, 846, 6350, 1466, 0, 83, 2]","[24.3, -9.5, -0.8, 0.4, 2.09999, -5.6999, -11.1, 14.4, -22.5]","['1GHQ', '1LY2', '1W2R', '1W2S', '2ATY', '2GSX', '3OED']"
435,P34998,0,Receptors,GPCR,GPCR;Secretin,[],[],[],[],[],"['2L27', '3EHS', '3EHT', '3EHU', '4K5Y', '4Z9G', '6P9X', '6PB0']"
436,Q13324,1,Receptors,GPCR,GPCR;Secretin,[370],[1456.2152674759964],[132],[1383],[22.8],"['3N93', '3N95', '3N96', '6PB1', '7TRY', '7TS0']"
437,Q9NZV1,9,Unclassified,Unclassified,Unclassified,"[803, 837, 213, 300, 640, 58, 205, 354, 588]","[3974.948974173542, 1565.8386220918705, 1910.8799371611103, 1229.9001686991437, 989.1159025723132, 3881.071398292742, 1755.7447951938143, 2865.5399374914955, 1600.7845740026632]","[2, 41, 0, 19, 11, 260, 0, 553, 0]","[13, 290, 2, 110, 16, 287, 2, 1897, 6]","[0.09999, 11.9, 8.99999, 9.7, 14.3999, -0.4, 15.9999, 28.5999, 21.0]",[]
438,Q9HC73,3,Unclassified,Unclassified,Unclassified,"[275, 361, 118]","[1399.5285247750003, 1668.6877721043372, 3340.586368255927]","[7, 1443, 54]","[27, 1619, 172]","[2.89999, 18.2999, -23.6]","['5J11', '5J12']"
439,O95727,3,Miscellaneous,Ligand,Ligand;IG_Ligand,"[181, 364, 49]","[3502.779427792814, 778.7521435313263, 1134.9354466198251]","[62, 5, 10]","[259, 36, 240]","[0.49999, 1.4, 6.2]","['3RBG', '4H5S']"
440,P82279,9,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;CrumbsProtein,"[383, 470, 525, 187, 690, 1295, 1098, 1178, 932]","[796.0991648923704, 3428.309331417776, 2126.8493059085577, 6385.851003695123, 748.024652422604, 892.200872016627, 1850.7211528014802, 1320.7738390117875, 2025.8645553881654]","[35, 2, 5, 0, 90, 0, 14, 0, 895]","[1495, 320, 72, 2, 1080, 3, 21, 387, 1440]","[23.0, 6.2, -16.5, -58.0, 8.2, -9.7, 4.29999, -8.8999, -8.6]",['4UU5']
441,Q5IJ48,9,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;CrumbsProtein,"[577, 414, 777, 130, 675, 897, 868, 238, 932]","[1459.8393467050266, 1720.6648407815628, 1258.415745869172, 2673.5042687766454, 3752.536819455093, 3267.97562931068, 1887.1122373329233, 687.9508074199041, 1903.2586660940683]","[36, 265, 0, 164, 68, 4, 0, 0, 74]","[331, 853, 0, 4136, 528, 74, 0, 99, 242]","[12.6, 1.29999, 5.09999, 12.5999, 8.39999, 11.0, 4.3, 50.3, 4.69999]",['2WO6']
442,Q9BUF7,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;CrumbsProtein,[],[],[],[],[],['5I7Z']
443,Q8NEA5,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],[]
444,Q9P1W3,1,Miscellaneous,Unknown_function,Unknown_function;TMEM63,[572],[872.575614205313],[1],[21],[4.0],[]
445,O94886,1,Miscellaneous,Unknown_function,Unknown_function;TMEM63,[304],[1573.3679724849742],[101],[211],[26.7],[]
446,Q5T3F8,1,Miscellaneous,Unknown_function,Unknown_function;TMEM63,[602],[1464.9050678962042],[0],[10],[-0.3999],[]
447,P07333,4,Receptors,Kinase,KInase;PDGFR,"[407, 382, 783, 126]","[946.4298032798704, 2084.902062666126, 4060.6037221717766, 750.9147237384341]","[6, 226, 0, 384]","[137, 439, 0, 1106]","[31.1, 6.3, 48.0999, 17.1]","['2I0V', '2I0Y', '2I1M', '2OGV', '3BEA', '3DPK', '3KRJ', '3KRL', '3LCD', '3LCO', '4DKD', '4HW7', '4LIQ', '4R7H', '4R7I', '4WRL', '4WRM', '6IG8', '6N33', '6T2W', '6WXJ', '7MFC']"
448,P09603,2,Unclassified,Unclassified,Unclassified,"[142, 23]","[1503.9391626915842, 1296.2915238176458]","[124, 37]","[113, 402]","[2.29999, 33.9]","['1HMC', '3UEZ', '3UF2', '4ADF', '4FA8', '4WRL', '4WRM', '5LXF']"
449,P15509,1,Receptors,IG,IG;Type1;CytokineR,[87],[3596.9525460936184],[9],[1134],[-39.4],"['4NKQ', '4RS1']"
450,Q99062,4,Receptors,IG,IG;Type1;CytokineR,"[617, 507, 409, 262]","[789.7585776453474, 2413.075158365785, 1328.24598139052, 1051.5511780529612]","[12, 0, 58, 27]","[2189, 955, 1636, 8109]","[18.0, -26.0, 5.19999, 1.0]",['2D9Q']
451,Q96PZ7,8,Miscellaneous,Unknown_function,Unknown_function;CSMD,"[1373, 1245, 1053, 1086, 102, 944, 686, 482]","[471.861980581431, 1256.3116544931568, 1529.0468875343572, 681.3012968952779, 5426.919600908689, 3070.799965948707, 4856.356536170364, 1088.3754920898448]","[5, 344, 543, 48, 0, 19, 3081, 75]","[1508, 1304, 988, 774, 2, 405, 5079, 519]","[3.39999, -3.6999, 3.09999, 11.3999, -28.8, -17.599, -1.2999, 8.6]",['2EHF']
452,Q7Z408,7,Miscellaneous,Unknown_function,Unknown_function;CSMD,"[1047, 1088, 950, 621, 257, 118, 343]","[1648.0826088807646, 542.2819434644808, 2304.685751531071, 4948.390656510109, 4755.432290397375, 2526.232804716947, 749.65188106188]","[144, 21, 73, 228, 1323, 131, 0]","[533, 337, 1359, 666, 1476, 693, 99]","[-7.4, 7.49999, -2.5999, -5.8, -43.0, -15.7, 11.5]",[]
453,Q6UVK1,8,Unclassified,Unclassified,Unclassified,"[554, 986, 1249, 541, 263, 679, 125, 1958]","[4883.365118494032, 2106.344596079711, 2237.8305266824827, 820.8768285810443, 1155.333497438828, 2012.1941670591839, 636.841943082809, 1900.0825547063832]","[30, 7, 167, 0, 42, 25, 211, 41]","[90, 31, 249, 0, 156, 162, 249, 188]","[5.2, 24.4, 14.2, 0.49999, -2.5, -12.9, 15.0999, -6.0]","['7ML7', '7N8X', '7N9Y']"
454,O95196,2,Unclassified,Unclassified,Unclassified,"[416, 17]","[5930.500419613975, 918.4145538287471]","[0, 0]","[8, 8]","[48.8999, 6.99999]",[]
455,O94985,3,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Calsyntenin,"[798, 317, 59]","[2226.7184031859806, 1523.7645515904608, 906.5631864312884]","[0, 3, 2]","[0, 4, 0]","[-10.3, 9.2, 22.4]",[]
456,Q9H4D0,4,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Calsyntenin,"[483, 336, 692, 598]","[1319.8139079231908, 2600.6152467784414, 1613.8250923971475, 983.0844325283658]","[7, 605, 14, 42]","[193, 960, 46, 131]","[-15.0, -16.1, -10.999, -6.6]",[]
457,Q9BQT9,4,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;Calsyntenin,"[317, 599, 606, 44]","[2660.3464254713335, 1207.691823594878, 875.2872740864949, 2409.8891567790065]","[0, 5, 0, 151]","[4, 2, 54, 653]","[-19.8, 1.19999, -4.9, -7.6999]",[]
458,Q8WWI5,2,Transporters,SLC,SLC;Other;SLC44,"[175, 496]","[1863.704463181593, 1521.979273691143]","[328, 305]","[1084, 730]","[34.0999, 41.7]",['7WWB']
459,Q8IWA5,2,Transporters,SLC,SLC;Other;SLC44,"[382, 308]","[1568.2126577255276, 1062.3978175776888]","[322, 110]","[641, 174]","[32.1, 3.3]",[]
460,Q8N4M1,2,Transporters,SLC,SLC;Other;SLC44,"[209, 455]","[1180.4658508166012, 1449.897175583777]","[75, 87]","[219, 173]","[27.5, 30.7999]",[]
461,Q53GD3,2,Transporters,SLC,SLC;Other;SLC44,"[61, 88]","[967.6213971321131, 1093.2375915349562]","[1, 1129]","[14, 2729]","[9.4, 17.0]",[]
462,Q8NCS7,0,Transporters,SLC,SLC;Other;SLC44,[],[],[],[],[],[]
463,P16410,2,Unclassified,Unclassified,Unclassified,"[48, 130]","[757.3565400820728, 3943.3907063408687]","[4, 298]","[148, 3044]","[22.3, 37.5]","['1AH1', '1H6E', '1I85', '1I8L', '2X44', '3BX7', '3OSK', '5GGV', '5TRU', '5XJ3', '6RP8', '6RPJ', '6RQM', '6XY2', '7CIO', '7DV4', '7ELX', '7SU0', '7SU1', '8HIT']"
464,O60931,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],"['8DKE', '8DKI', '8DKM', '8DKW', '8DKX', '8DYP']"
465,P30825,0,Transporters,SLC,SLC;APC;SLC7,[],[],[],[],[],[]
466,P52569,0,Transporters,SLC,SLC;APC;SLC7,[],[],[],[],[],[]
467,Q8WY07,0,Transporters,SLC,SLC;APC;SLC7,[],[],[],[],[],[]
468,O43246,0,Transporters,SLC,SLC;APC;SLC7,[],[],[],[],[],[]
469,Q86XM0,3,Unclassified,Unclassified,Unclassified,"[428, 702, 718]","[2305.991451737035, 3675.4964348682847, 3721.5723514190445]","[46, 228, 0]","[152, 854, 0]","[8.89999, 17.5, 71.2]",[]
470,Q6ZRH7,5,Unclassified,Unclassified,Unclassified,"[22, 617, 461, 1024, 947]","[1065.986602370734, 2664.7462065901395, 696.9607787951161, 5889.643619303092, 942.0342885214591]","[0, 348, 1, 115, 6]","[1, 469, 16, 184, 4]","[26.9, -10.8, 14.5999, 68.3999, 11.5]",[]
471,Q86UP6,4,Unclassified,Unclassified,Unclassified,"[503, 273, 485, 207]","[1071.2266625616382, 1425.4456945397533, 882.593998037233, 1984.8219744746843]","[135, 0, 399, 210]","[960, 12, 2838, 2331]","[-9.4, 28.4, -5.5, 17.9]",[]
472,P49238,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['7XBW', '7XBX']"
473,P17302,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[],[],[],[],[],"['2LL2', '7F92', '7F93', '7F94', '7XQ9', '7XQB', '7XQD', '7XQF', '7XQG', '7XQH', '7XQI', '7XQJ', '7Z1T', '7Z22', '7Z23']"
474,Q9Y6H8,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[],[],[],[],[],[]
475,P35212,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[],[],[],[],[],[]
476,P78310,3,Receptors,IG,IG;OtherMisc,"[56, 168, 224]","[1198.4669827961984, 1878.3941237937397, 982.181903379612]","[2, 1, 7]","[96, 1731, 600]","[-1.4999, -12.7, 7.89999]","['1EAJ', '1F5W', '1JEW', '1KAC', '1P69', '1P6A', '1RSF', '2J12', '2J1K', '2NPL', '2W9L', '2WBW', '3J6L', '3J6M', '3J6N', '3J6O', '7DPZ', '7DQ1', '7VXZ', '7VYK', '7VYL', '7VYM', '7W14']"
477,P08034,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[],[],[],[],[],['5KK9']
478,P29033,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[],[],[],[],[],"['2ZW3', '3IZ1', '3IZ2', '5ER7', '5ERA', '5KJ3', '5KJG', '6UVR', '6UVS', '6UVT', '7QEO', '7QEQ', '7QER', '7QES', '7QET', '7QEU', '7QEV', '7QEW', '7QEY']"
479,O75712,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[],[],[],[],[],[]
480,Q9NTQ9,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[],[],[],[],[],[]
481,O95377,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[],[],[],[],[],[]
482,O95452,1,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[74],[3398.8233511836393],[248],[813],[81.6999],[]
483,Q6PEY0,1,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[76],[1851.055286390501],[2276],[2106],[53.5999],[]
484,P25024,1,Receptors,GPCR,GPCR;Rhodopsin,[316],[1319.4941248191308],[73],[126],[30.1],"['1ILP', '1ILQ', '2LNL', '6XMN']"
485,P25025,1,Receptors,GPCR,GPCR;Rhodopsin,[325],[1129.60327182951],[174],[146],[34.9],"['4Q3H', '5TYT', '6KVA', '6KVF', '6LFM', '6LFO']"
486,P49682,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
487,P61073,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['2K03', '2K04', '2K05', '2N55', '3ODU', '3OE0', '3OE6', '3OE8', '3OE9', '4RWS']"
488,P32302,1,Receptors,GPCR,GPCR;Rhodopsin,[259],[1167.2234560053032],[354],[277],[15.2],[]
489,O00574,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],[]
490,Q9UKL4,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[],[],[],[],[],"['2N6A', '7XKI', '7XKT', '7XNH', '7XNV', '8HKP']"
491,Q5T442,0,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[],[],[],[],[],[]
492,Q8NFK1,1,Miscellaneous,StructuralAndAdhesion,StructuralAndAdhesion;GapJunction,[76],[1116.3100685444315],[19],[40],[19.9],"['6L3T', '6L3U', '6L3V']"
493,Q9H2A7,0,Receptors,SCAR,SCAR;Class_G,[],[],[],[],[],[]
494,P04839,1,Enzymes,Oxidoreductases,1,[90],[672.3225475211294],[200],[199],[8.09999],"['3A1F', '7U8G', '8GZ3']"
495,P08174,2,Unmatched,Unmatched,Unmatched,"[33, 205]","[353.5899377455076, 1782.6003703197232]","[0, 207]","[2, 1297]","[-1.3, -12.8]","['1H03', '1H04', '1H2P', '1H2Q', '1M11', '1NWV', '1OJV', '1OJW', '1OJY', '1OK1', '1OK2', '1OK3', '1OK9', '1UOT', '1UPN', '2C8I', '2QZD', '2QZF', '2QZH', '3IYP', '3J24', '5FOA', '6ILJ', '6ILK', '6LA5', '7C9W', '7DO4', '7VY5', '7VY6']"
496,Q14118,3,Unclassified,Unclassified,Unclassified,"[564, 75, 296]","[5108.469346620947, 2917.5961277614783, 1377.5129415903436]","[15, 4, 1395]","[346, 2, 1303]","[-39.2, 0.1, -1.0999]","['1EG4', '2MK7', '5GGP', '5LLK', '6JJY', '7E9K', '7E9L']"
497,Q8N8Z6,1,Unclassified,Unclassified,Unclassified,[207],[4076.5199613971313],[87],[97],[-14.5],[]
498,Q96PD2,4,Unclassified,Unclassified,Unclassified,"[226, 196, 249, 55]","[761.6962043044205, 433.5746927804313, 3064.9864681357853, 1127.268603066759]","[7, 636, 331, 0]","[17, 2623, 76, 19]","[-0.7, -3.5, 12.6, 30.8]",[]
499,P43146,5,Receptors,IG,IG;NetrinR,"[476, 371, 192, 617, 239]","[2701.2356113361125, 868.1215339542237, 1537.4801245545223, 1432.685708127971, 3314.295310180301]","[9, 0, 226, 1, 6]","[16, 387, 921, 90, 13]","[-21.899, 16.2, 31.8, 27.0, -19.0]","['2ED7', '2ED8', '2ED9', '2EDB', '2EDD', '2EDE', '3AU4', '4URT', '5X83']"
500,Q9H295,3,Unclassified,Unclassified,Unclassified,"[136, 90, 447]","[4503.485286225731, 8353.256919340572, 2497.553360522704]","[1082, 1, 2]","[1656, 0, 156]","[67.2999, 210.7, 10.1]",[]
501,Q08345,3,Receptors,Kinase,Kinase;Other,"[198, 32, 766]","[1554.3871290185912, 1419.3783482834042, 4029.277195278676]","[329, 2, 1]","[870, 0, 2]","[-6.5, 0.69999, 15.6]","['3ZOS', '4AG4', '4BKJ', '4CKR', '5BVK', '5BVN', '5BVO', '5BVW', '5FDP', '5FDX', '5SAU', '5SAV', '5SAW', '5SAX', '5SAY', '5SAZ', '5SB0', '5SB1', '5SB2', '6BRJ', '6BSD', '6FEW', '6FEX', '6FIL', '6FIN', '6FIO', '6FIQ', '6GWR', '6HP9', '6Y23', '7BCM', '7BE6', '7FEH']"
502,Q16832,1,Receptors,Kinase,Kinase;Other,[747],[6057.503568995734],[0],[1],[9.8],"['2WUH', '2Z4F', '6FER', '7AZB']"
503,Q9Y4D2,2,Unclassified,Unclassified,Unclassified,"[217, 58]","[4785.099397022775, 2871.6406389291055]","[554, 1237]","[495, 5154]","[58.6999, 76.6]",[]
504,Q8NCG7,1,Unclassified,Unclassified,Unclassified,[639],[3086.3849804671268],[492],[822],[45.2999],[]
505,Q96SL1,0,Unclassified,Unclassified,Unclassified,[],[],[],[],[],[]
