acc,pdb
P56817,2ZHU
P56817,2ZHV
P56817,2ZJH
P56817,2ZJI
P56817,2ZJJ
P56817,2ZJK
P56817,2ZJL
P56817,2ZJM
P56817,2ZJN
P56817,3BRA
P56817,3BUF
P56817,3BUG
P56817,3BUH
P56817,3CIB
P56817,3CIC
P56817,3CID
P56817,3CKP
P56817,3CKR
P56817,3DM6
P56817,3DUY
P56817,3DV1
P56817,3DV5
P56817,3EXO
P56817,3FKT
P56817,3H0B
P56817,3HVG
P56817,3HW1
P56817,3I25
P56817,3IGB
P56817,3IN3
P56817,3IN4
P56817,3IND
P56817,3INE
P56817,3INF
P56817,3INH
P56817,3IVH
P56817,3IVI
P56817,3IXJ
P56817,3IXK
P56817,3K5C
P56817,3K5D
P56817,3K5F
P56817,3K5G
P56817,3KMX
P56817,3KMY
P56817,3KN0
P56817,3KYR
P56817,3L38
P56817,3L3A
P56817,3L58
P56817,3L59
P56817,3L5B
P56817,3L5C
P56817,3L5D
P56817,3L5E
P56817,3L5F
P56817,3LHG
P56817,3LNK
P56817,3LPI
P56817,3LPJ
P56817,3LPK
P56817,3MSJ
P56817,3MSK
P56817,3MSL
P56817,3N4L
P56817,3NSH
P56817,3OHF
P56817,3OHH
P56817,3OOZ
P56817,3PI5
P56817,3QBH
P56817,3QI1
P56817,3R1G
P56817,3R2F
P56817,3RSV
P56817,3RSX
P56817,3RTH
P56817,3RTM
P56817,3RTN
P56817,3RU1
P56817,3RVI
P56817,3S2O
P56817,3S7L
P56817,3S7M
P56817,3SKF
P56817,3SKG
P56817,3TPJ
P56817,3TPL
P56817,3TPP
P56817,3TPR
P56817,3U6A
P56817,3UDH
P56817,3UDJ
P56817,3UDK
P56817,3UDM
P56817,3UDN
P56817,3UDP
P56817,3UDQ
P56817,3UDR
P56817,3UDY
P56817,3UFL
P56817,3UQP
P56817,3UQR
P56817,3UQU
P56817,3UQW
P56817,3UQX
P56817,3VEU
P56817,3VF3
P56817,3VG1
P56817,3VV6
P56817,3VV7
P56817,3VV8
P56817,3WB4
P56817,3WB5
P56817,3ZMG
P56817,3ZOV
P56817,4ACU
P56817,4ACX
P56817,4AZY
P56817,4B00
P56817,4B05
P56817,4B0Q
P56817,4B1C
P56817,4B1D
P56817,4B1E
P56817,4B70
P56817,4B72
P56817,4B77
P56817,4B78
P56817,4BEK
P56817,4BFD
P56817,4D83
P56817,4D85
P56817,4D88
P56817,4D89
P56817,4D8C
P56817,4DH6
P56817,4DI2
P56817,4DJU
P56817,4DJV
P56817,4DJW
P56817,4DJX
P56817,4DJY
P56817,4DPF
P56817,4DPI
P56817,4DUS
P56817,4DV9
P56817,4DVF
P56817,4EWO
P56817,4EXG
P56817,4FCO
P56817,4FGX
P56817,4FM7
P56817,4FM8
P56817,4FRI
P56817,4FRJ
P56817,4FRK
P56817,4FRS
P56817,4FS4
P56817,4FSE
P56817,4FSL
P56817,4GID
P56817,4GMI
P56817,4H1E
P56817,4H3F
P56817,4H3G
P56817,4H3I
P56817,4H3J
P56817,4HA5
P56817,4HZT
P56817,4I0D
P56817,4I0E
P56817,4I0F
P56817,4I0G
P56817,4I0H
P56817,4I0I
P56817,4I0J
P56817,4I0Z
P56817,4I10
P56817,4I11
P56817,4I12
P56817,4I1C
P56817,4IVS
P56817,4IVT
P56817,4J0P
P56817,4J0T
P56817,4J0V
P56817,4J0Y
P56817,4J0Z
P56817,4J17
P56817,4J1C
P56817,4J1E
P56817,4J1F
P56817,4J1H
P56817,4J1I
P56817,4J1K
P56817,4JOO
P56817,4JP9
P56817,4JPC
P56817,4JPE
P56817,4K8S
P56817,4K9H
P56817,4KE0
P56817,4KE1
P56817,4L7G
P56817,4L7H
P56817,4L7J
P56817,4LC7
P56817,4LXA
P56817,4LXK
P56817,4LXM
P56817,4N00
P56817,4PZW
P56817,4PZX
P56817,4R5N
P56817,4R8Y
P56817,4R91
P56817,4R92
P56817,4R93
P56817,4R95
P56817,4RCD
P56817,4RCE
P56817,4RCF
P56817,4RRN
P56817,4RRO
P56817,4RRS
P56817,4TRW
P56817,4TRY
P56817,4TRZ
P56817,4WTU
P56817,4WY1
P56817,4WY6
P56817,4X2L
P56817,4X7I
P56817,4XKX
P56817,4XXS
P56817,4YBI
P56817,4ZPE
P56817,4ZPF
P56817,4ZPG
P56817,4ZSM
P56817,4ZSP
P56817,4ZSQ
P56817,4ZSR
P56817,5CLM
P56817,5DQC
P56817,5ENK
P56817,5ENM
P56817,5EZX
P56817,5EZZ
P56817,5F00
P56817,5F01
P56817,5HD0
P56817,5HDU
P56817,5HDV
P56817,5HDX
P56817,5HDZ
P56817,5HE4
P56817,5HE5
P56817,5HE7
P56817,5HTZ
P56817,5HU0
P56817,5HU1
P56817,5I3V
P56817,5I3W
P56817,5I3X
P56817,5I3Y
P56817,5IE1
P56817,5KQF
P56817,5KR8
P56817,5MBW
P56817,5MCO
P56817,5MCQ
P56817,5MXD
P56817,5QCO
P56817,5QCP
P56817,5QCQ
P56817,5QCR
P56817,5QCS
P56817,5QCT
P56817,5QCU
P56817,5QCV
P56817,5QCW
P56817,5QCX
P56817,5QCY
P56817,5QCZ
P56817,5QD0
P56817,5QD1
P56817,5QD2
P56817,5QD3
P56817,5QD4
P56817,5QD5
P56817,5QD6
P56817,5QD7
P56817,5QD8
P56817,5QD9
P56817,5QDA
P56817,5QDB
P56817,5QDC
P56817,5QDD
P56817,5T1U
P56817,5T1W
P56817,5TOL
P56817,5UYU
P56817,5V0N
P56817,5YGX
P56817,5YGY
P56817,6BFD
P56817,6BFE
P56817,6BFW
P56817,6BFX
P56817,6C2I
P56817,6DHC
P56817,6DMI
P56817,6E3Z
P56817,6EJ2
P56817,6EJ3
P56817,6EQM
P56817,6FGY
P56817,6JSE
P56817,6JSF
P56817,6JSG
P56817,6JSN
P56817,6JT3
P56817,6JT4
P56817,6NV7
P56817,6NV9
P56817,6NW3
P56817,6OD6
P56817,6PZ4
P56817,6UVP
P56817,6UVV
P56817,6UVY
P56817,6UWP
P56817,6UWV
P56817,6WNY
P56817,7B1E
P56817,7B1P
P56817,7B1Q
P56817,7D2V
P56817,7D2X
P56817,7D36
P56817,7D5A
P56817,7DCZ
P56817,7F1D
P56817,7MYI
P56817,7MYR
P56817,7MYU
P56817,7N66
Q9Y5Z0,2EWY
Q9Y5Z0,3ZKG
Q9Y5Z0,3ZKI
Q9Y5Z0,3ZKM
Q9Y5Z0,3ZKN
Q9Y5Z0,3ZKQ
Q9Y5Z0,3ZKS
Q9Y5Z0,3ZKX
Q9Y5Z0,3ZL7
Q9Y5Z0,3ZLQ
Q9Y5Z0,4BEL
Q9Y5Z0,4BFB
Q9Y5Z0,6JSZ
Q9Y5Z0,6UJ0
Q9Y5Z0,6UJ1
Q9Y5Z0,7D5B
Q9Y5Z0,7D5U
Q9Y5Z0,7F1G
Q9Y5Z0,7N4N
P35613,3B5H
P35613,3I84
P35613,3I85
P35613,3QQN
P35613,3QR2
P35613,4U0Q
P35613,5X0T
P35613,5XF0
P35613,6LYY
P35613,6LZ0
P35613,7CKO
P35613,7CKR
P35613,7DA5
P35613,7DAA
P35613,7DCE
P35613,7XY8
P82251,6LI9
P82251,6LID
P82251,6YUP
P82251,6YV1
P50895,2PET
P50895,2PF6
Q8NFU1,8D1E
Q8NFU1,8D1F
Q8NFU1,8D1G
Q8NFU1,8D1H
P46663,7EIB
P30411,7F2O
P30411,7F6H
P30411,7F6I
Q13873,2HLQ
Q13873,3G2F
Q13873,6UNP
Q13873,7PPA
Q13873,7PPB
Q13873,7PPC
Q13873,7U5O
P36894,1ES7
P36894,1REW
P36894,2GOO
P36894,2H62
P36894,2H64
P36894,2K3G
P36894,2QJ9
P36894,2QJA
P36894,2QJB
P36894,3NH7
P36894,3QB4
Q9BWV1,3N1G
Q9BWV1,3N1M
Q9BWV1,3N1P
Q10588,1ISF
Q10588,1ISG
Q10588,1ISH
Q10588,1ISI
Q10588,1ISJ
Q10588,1ISM
Q10589,2LK9
Q10589,2X7A
Q10589,2XG7
Q10589,3MQ7
Q10589,3MQ9
Q10589,3MQB
Q10589,3MQC
Q10589,3NWH
Q10589,4P6Z
Q10589,6CM9
Q10589,6CRI
Q10589,6D83
Q10589,6D84
Q10589,6DFF
O00481,4F80
O00481,4F9L
O00481,4F9P
O00481,4JKW
O00481,4K55
O00481,4N7I
O00481,4N7U
O00481,4V1P
O00481,5HM7
O00481,5LYG
O00481,5LYK
O00481,5ZXK
O00481,6ISM
O00481,6ITA
O00481,6J06
O00481,6XLQ
P78410,4F8Q
O00478,4F8T
O00478,5ZZ3
O00478,6J0G
O00478,6J0K
O00478,6J0L
P35070,1IOX
P35070,1IP0
Q7Z6A9,2AW2
Q7Z6A9,6NYP
O95971,6NG3
O95971,6NG9
O95971,6NGG
O95971,7MSG
Q9NR16,6K0O
Q9NPY3,8A59
P21730,5O9H
P21730,6C1Q
P21730,6C1R
P21730,7Y64
P21730,7Y65
P21730,7Y66
P21730,7Y67
Q13936,1T0J
Q13936,2BE6
Q13936,2F3Y
Q13936,2F3Z
Q13936,2LQC
Q13936,3G43
Q13936,3OXQ
Q13936,5V2P
Q13936,5V2Q
Q13936,6C0A
Q13936,6DAD
Q13936,6DAE
Q13936,6DAF
Q13936,6U39
Q13936,6U3A
Q13936,6U3B
Q13936,6U3D
Q13936,7L8V
Q13936,8FD7
O43497,6KZO
O43497,6KZP
Q9P0X4,7WLI
Q9P0X4,7WLJ
Q9P0X4,7WLK
Q9P0X4,7WLL
P55290,2V37
Q12864,6ULM
Q12864,7CYM
Q12864,7EV1
Q9H251,2KBR
Q9H251,2KBS
Q9H251,2LSR
Q9H251,5TFM
Q9H251,5VVM
Q9H251,5WJ8
P12830,1O6S
P12830,2O72
P12830,2OMT
P12830,2OMU
P12830,2OMV
P12830,2OMX
P12830,2OMY
P12830,2OMZ
P12830,3FF7
P12830,3FF8
P12830,3L6X
P12830,3L6Y
P12830,4ZT1
P12830,4ZTE
P12830,6CXY
P12830,6OLE
P12830,6OLF
P12830,6OLG
P12830,6VEL
P12830,7STZ
P22223,4OY9
P22223,4ZML
P22223,4ZMN
P22223,4ZMO
P22223,4ZMP
P22223,4ZMQ
P22223,4ZMT
P22223,4ZMV
P22223,4ZMW
P22223,4ZMX
P22223,4ZMY
P22223,4ZMZ
P22223,5JYL
P22223,5JYM
P22223,6ZTB
P22223,6ZTR
P22223,7CME
P22223,7CMF
P55285,5VEB
Q9BY67,3BIN
Q9BY67,4H5S
Q8N126,1Z9M
O43570,1JCZ
O43570,1JD0
O43570,4HT2
O43570,4KP5
O43570,4KP8
O43570,4Q0L
O43570,4QJ0
O43570,4QJO
O43570,4QJW
O43570,4WW8
O43570,5LL5
O43570,5LL9
O43570,5LLO
O43570,5LLP
O43570,5MSA
O43570,5MSB
O43570,6G5L
O43570,6G7A
O43570,6QN0
O43570,6QNG
O43570,6QNL
O43570,6R6Y
O43570,6R71
O43570,6RPS
O43570,6T5P
O43570,6T5Q
O43570,7PP9
O43570,7PUU
O43570,7PUV
O43570,7PUW
Q9ULX7,4LU3
Q9ULX7,5CJF
P22748,1ZNC
P22748,3F7B
P22748,3F7U
P22748,3FW3
P22748,5IPZ
P22748,5JN8
P22748,5JN9
P22748,5JNA
P22748,5JNC
P22748,5KU6
Q9HA72,6LMU
Q9HA72,6LMW
Q9HA72,6LMX
Q9HA72,6UIV
Q9HA72,6UIW
Q9HA72,6UIX
Q9HA72,6VAI
Q9HA72,6VAK
Q9HA72,6VAL
P30988,5II0
P30988,5UZ7
P30988,6NIY
P30988,6PFO
P30988,6PGQ
P30988,7TYF
P30988,7TYH
P30988,7TYI
P30988,7TYL
P30988,7TYN
P30988,7TYO
P30988,7TYW
P30988,7TYX
P30988,7TYY
P30988,7TZF
Q16602,3AQF
Q16602,3N7P
Q16602,3N7R
Q16602,3N7S
Q16602,4RWF
Q16602,4RWG
Q16602,5V6Y
Q16602,6D1U
Q16602,6E3Y
Q16602,6UMG
Q16602,6UUN
Q16602,6UUS
Q16602,6UVA
Q16602,6V2E
Q16602,6ZHO
Q16602,6ZIS
Q16602,7KNT
Q16602,7KNU
Q16602,7P0F
Q16602,7P0I
Q16602,8AX5
Q16602,8AX6
Q16602,8AX7
P41180,5FBH
P41180,5FBK
P41180,5K5S
P41180,5K5T
P41180,7DTT
P41180,7DTU
P41180,7DTV
P41180,7DTW
P41180,7E6T
P41180,7E6U
P41180,7M3E
P41180,7M3F
P41180,7M3G
P41180,7M3J
P41180,7SIL
P41180,7SIM
P41180,7SIN
O75976,5AQ0
P14384,1UWY
Q9NV96,6K7G
Q9NV96,6K7H
Q9NV96,6K7I
Q9NV96,6K7J
Q9NV96,6K7K
Q9NV96,6K7L
Q9NV96,6K7M
Q9NV96,6K7N
Q9NV96,6LKN
Q9NV96,7BSP
Q9NV96,7BSQ
Q9NV96,7BSS
Q9NV96,7BSU
Q9NV96,7BSV
Q9NV96,7BSW
Q9NV96,7PY4
Q9NV96,7VGI
Q9NV96,7VGJ
Q9NV96,7VSG
Q9NV96,7VSH
Q9Y698,6DLZ
Q9Y698,6DM0
Q9Y698,6DM1
Q9Y698,6O9G
Q9Y698,6TNO
P32238,1D6G
P32238,1HZN
P32238,7EZH
P32238,7EZK
P32238,7EZM
P32238,7F8U
P32238,7F8X
P32238,7F8Y
P32238,7MBX
P32238,7MBY
P32238,7XOU
P32238,7XOV
P32246,7VL8
P32246,7VL9
P32246,7VLA
P41597,2MLO
P41597,2MLQ
P41597,5T1A
P41597,7P8X
P41597,7XA3
P51677,7X9Y
P51681,2L87
P51681,2MZX
P51681,2RLL
P51681,2RRS
P51681,4MBS
P51681,5UIW
P51681,5YD3
P51681,5YD4
P51681,5YD5
P51681,5YY4
P51681,6FGP
P51681,6MEO
P51681,6MET
P51681,7F1Q
P51681,7F1R
P51681,7F1S
P51681,7NJZ
P51681,7NW3
P51681,7O7F
P51684,6WWZ
P32248,6QZH
P51686,5LWE
P08571,4GLP
Q13740,5A2F
Q99467,3B2D
P15391,6AL5
P15391,7JIC
P15391,7URV
P15391,7URX
P06126,1ONQ
P06126,1XZ0
P06126,4X6C
P06126,4X6D
P06126,4X6E
P06126,4X6F
P06126,5J1A
P06126,6NUX
P06126,7KOZ
P06126,7KP0
P06126,7KP1
P06126,7RYM
P06126,7RYN
P06126,7RYO
P06126,7SH4
P29016,1GZP
P29016,1GZQ
P29016,1UQS
P29016,2H26
P29016,3OV6
P29016,3T8X
P29016,4ONO
P29016,5C9J
P29016,5L2J
P29016,5L2K
P29016,5WKE
P29016,5WKG
P29016,5WKI
P29016,5WL1
P29016,6CUG
P29016,6D64
P29017,3OV6
P29017,4ONO
P29017,5C9J
P29017,6C09
P29017,6C15
P15813,1ZT4
P15813,2PO6
P15813,3HUJ
P15813,3SDX
P15813,3TZV
P15813,3U0P
P15813,3VWJ
P15813,3VWK
P15813,4EN3
P15813,4LHU
P15813,4MNG
P15813,4MQ7
P15813,4WO4
P15813,4WW2
P15813,4WWK
P15813,6V7Y
P15813,6V7Z
P15813,6V80
P15812,3S6C
P11836,2OSL
P11836,3BKY
P11836,3PP4
P11836,6VJA
P11836,6Y90
P11836,6Y92
P11836,6Y97
P11836,6Y9A
Q15762,6ISB
Q15762,6O3O
P20273,5VKJ
P20273,5VKM
P20273,5VL3
P20273,7O52
P26842,5TL5
P26842,5TLJ
P26842,5TLK
P26842,7KX0
P26842,8DS5
P10747,1YJD
P10747,3WA4
P10747,5AUL
P10747,5GJH
P10747,5GJI
P10747,6O8D
P10747,7PPN
P10747,7VU5
P06729,1CDB
P06729,1GYA
P06729,1HNF
P06729,1L2Z
P06729,1QA9
P06729,2J6O
P06729,2J7I
Q8IX05,2NAN
Q9NPF0,4ZRP
Q9NPF0,4ZRQ
Q9NPF0,7QBD
Q9NPF0,7QBE
Q9NPF0,7QBF
Q9NPF0,7QBG
P20138,5IHB
P20138,5J06
P20138,5J0B
P20138,6D48
P20138,6D49
P20138,6D4A
P20138,6TL8
P20138,7AW6
P16671,5LGD
P28907,1YH3
P28907,1ZVM
P28907,2EF1
P28907,2HCT
P28907,2I65
P28907,2I66
P28907,2I67
P28907,2O3Q
P28907,2O3R
P28907,2O3S
P28907,2O3T
P28907,2O3U
P28907,2PGJ
P28907,2PGL
P28907,3DZF
P28907,3DZG
P28907,3DZH
P28907,3DZI
P28907,3DZJ
P28907,3DZK
P28907,3F6Y
P28907,3I9M
P28907,3I9N
P28907,3OFS
P28907,3RAJ
P28907,3ROK
P28907,3ROM
P28907,3ROP
P28907,3ROQ
P28907,3U4H
P28907,3U4I
P28907,4CMH
P28907,4F45
P28907,4F46
P28907,4OGW
P28907,4TMF
P28907,4XJS
P28907,4XJT
P28907,5F1K
P28907,5F1O
P28907,5F21
P28907,6EDR
P28907,6VUA
P28907,7DHA
P28907,7DUO
P28907,7VKE
P28907,8D0M
P28907,8IL3
P04234,1XIW
P04234,6JXR
P04234,7FJD
P04234,7FJE
P04234,7FJF
P04234,7PHR
P09693,1SY6
P09693,6JXR
P09693,7FJD
P09693,7FJE
P09693,7FJF
P09693,7PHR
P09693,7Q5U
P29965,1ALY
P29965,1I9R
P29965,3LKJ
P29965,3QD6
P29965,6BRB
P29965,6W9G
P29965,7SGM
P16070,1POZ
P16070,1UUH
P16070,2I83
P16070,4PZ3
P16070,4PZ4
P16070,6TXS
Q08722,2JJS
Q08722,2JJT
Q08722,2VSC
Q08722,4CMM
Q08722,4KJY
Q08722,5IWL
Q08722,5TZ2
Q08722,5TZT
Q08722,5TZU
Q08722,7MYZ
Q08722,7WN8
Q08722,7YGG
P09326,2EDO
P01730,1CDH
P01730,1CDI
P01730,1CDJ
P01730,1CDU
P01730,1CDY
P01730,1G9M
P01730,1G9N
P01730,1GC1
P01730,1JL4
P01730,1Q68
P01730,1RZJ
P01730,1RZK
P01730,1WBR
P01730,1WIO
P01730,1WIP
P01730,1WIQ
P01730,2B4C
P01730,2JKR
P01730,2JKT
P01730,2KLU
P01730,2NXY
P01730,2NXZ
P01730,2NY0
P01730,2NY1
P01730,2NY2
P01730,2NY3
P01730,2NY4
P01730,2NY5
P01730,2NY6
P01730,2QAD
P01730,3B71
P01730,3CD4
P01730,3J70
P01730,3JCB
P01730,3JCC
P01730,3JWD
P01730,3JWO
P01730,3LQA
P01730,3O2D
P01730,3S4S
P01730,3S5L
P01730,3T0E
P01730,4H8W
P01730,4JM2
P01730,4P9H
P01730,4Q6I
P01730,4R2G
P01730,4R4H
P01730,4RQS
P01730,5A7X
P01730,5A8H
P01730,5CAY
P01730,5THR
P01730,5U1F
P01730,5VN3
P01730,6CM3
P01730,6EDU
P01730,6L1Y
P01730,6MEO
P01730,6MET
P01730,6OPN
P01730,6OPO
P01730,6OPP
P01730,6OPQ
P01730,6QH6
P01730,6QH7
P01730,6U0L
P01730,6U0N
P01730,6URI
P01730,6X5B
P01730,6X5C
P01730,7T0O
P01730,7T0R
P01730,8D5C
P31358,6OBD
P19397,6WVG
P13987,1CDQ
P13987,1CDR
P13987,1CDS
P13987,1ERG
P13987,1ERH
P13987,2J8B
P13987,2OFS
P13987,2UWR
P13987,2UX2
P13987,4BIK
P13987,5IMT
P13987,5IMY
P13987,6ZD0
P13987,8B0F
P13987,8B0G
P13987,8B0H
P06127,2JA4
P06127,2JOP
P06127,2JP0
P06127,2OTT
Q07108,1E87
Q07108,1E8I
Q07108,1FM5
Q07108,3CCK
Q07108,3HUP
P30203,5A2E
P32970,7KX0
P11912,1CV9
P11912,7WSO
P11912,7WSP
P11912,7XQ8
P11912,7XT6
P40259,3KG5
P40259,7WSO
P40259,7WSP
P40259,7XQ8
P40259,7XT6
P33681,1DR9
P33681,1I8L
P33681,7TPS
Q01151,5MIX
Q01151,5MJ0
Q01151,5MJ1
Q01151,5MJ2
P42081,1I85
P42081,1NCN
P42081,5YXK
P01732,1AKJ
P01732,1CD8
P01732,1Q69
P01732,2HP4
P01732,3QZW
P01732,7UMG
P01732,7UVF
P01732,8EW6
P21926,6K4J
P21926,6RLO
P21926,6RLR
P21926,6Z1V
P21926,6Z20
Q9BYE9,5CZR
Q9BYE9,7N86
Q6ZTQ4,6PPO
Q6ZTQ4,6PSF
Q6ZTQ4,7KNV
Q9HBB8,6OAE
Q4KMG0,3D1M
Q4KMG0,3N1F
Q4KMG0,3N1Q
P13688,2GK2
P13688,4QXW
P13688,4WHD
P13688,5DZL
P13688,6AW2
P13688,6GBG
P13688,6GBH
P13688,6V3P
P13688,6XNO
P13688,6XNT
P13688,6XNW
P13688,6XO1
P13688,7MU8
P13688,7RPP
P13688,8CXJ
P40198,6AVZ
P40198,6AW0
P40198,6AW1
P40198,6AW3
P06731,1E07
P06731,2QSQ
P06731,2QST
P06731,2VER
P40199,4WHC
P40199,4WTZ
P40199,4Y8A
P40199,4YIQ
Q14002,4Y89
P31997,2DKS
P31997,4WTZ
P31997,4Y88
P31997,4YIQ
Q9NYQ6,7SZ8
Q9P126,2C6U
Q9P126,3WSR
Q9P126,3WWK
Q9UHP7,4QKG
Q9UHP7,4QKH
Q9UHP7,4QKI
Q9UHP7,4QKJ
Q9UHP7,4WCO
Q9UHP7,5MGT
Q9H2X3,1K9J
Q9H2X3,1SL6
Q9H2X3,1XAR
Q9H2X3,1XPH
Q9H2X3,3JQH
Q9NY25,2YHF
Q6UXN8,3VPP
P57739,4YYX
O14493,5B2G
O14493,7KP4
O14493,7TDM
O14493,7TDN
O95484,6OV2
O95484,6OV3
Q8TDQ1,2NMS
Q9UGN4,2Q87
Q9Y271,6RZ4
Q9Y271,6RZ5
Q9H8M5,4IY0
Q9H8M5,4IY2
Q9H8M5,4IY4
Q9H8M5,4IYS
Q9H8M5,6DJ3
Q9H8M5,6N7E
Q8NE01,5K22
Q8NE01,5K23
Q8NE01,5K25
Q8NE01,5TSR
Q8NE01,6DFD
Q8NE01,6MN6
Q8NE01,6WUR
Q6P4Q7,6G52
Q6P4Q7,6RS2
P21554,1LVQ
P21554,1LVR
P21554,2B0Y
P21554,2KOE
P21554,2MZ2
P21554,2MZ3
P21554,2MZA
P21554,5TGZ
P21554,5U09
P21554,5XR8
P21554,5XRA
P21554,6KPG
P21554,6KQI
P21554,6N4B
P21554,7FEE
P21554,7V3Z
P21554,7WV9
P34972,2KI9
P34972,5ZTY
P34972,6KPC
P34972,6KPF
P34972,6PT0
P26992,1UC6
P26992,8D74
P26992,8D7E
P26992,8D7H
P26992,8D7R
Q12860,2EE2
Q12860,3S97
Q02246,2OM5
Q9P232,1WJ3
O94779,4N68
O94779,5E52
Q9UHC6,5Y4M
Q9C0A0,4NXQ
O15431,2LS2
O15431,2LS3
O15431,2LS4
P17927,1GKG
P17927,1GKN
P17927,1PPQ
P17927,2MCY
P17927,2MCZ
P17927,2Q7Z
P17927,5FO9
P20023,1GHQ
P20023,1LY2
P20023,1W2R
P20023,1W2S
P20023,2ATY
P20023,2GSX
P20023,3OED
P34998,2L27
P34998,3EHS
P34998,3EHT
P34998,3EHU
P34998,4K5Y
P34998,4Z9G
P34998,6P9X
P34998,6PB0
Q13324,3N93
Q13324,3N95
Q13324,3N96
Q13324,6PB1
Q13324,7TRY
Q13324,7TS0
Q9HC73,5J11
Q9HC73,5J12
O95727,3RBG
O95727,4H5S
P82279,4UU5
Q5IJ48,2WO6
Q9BUF7,5I7Z
P07333,2I0V
P07333,2I0Y
P07333,2I1M
P07333,2OGV
P07333,3BEA
P07333,3DPK
P07333,3KRJ
P07333,3KRL
P07333,3LCD
P07333,3LCO
P07333,4DKD
P07333,4HW7
P07333,4LIQ
P07333,4R7H
P07333,4R7I
P07333,4WRL
P07333,4WRM
P07333,6IG8
P07333,6N33
P07333,6T2W
P07333,6WXJ
P07333,7MFC
P09603,1HMC
P09603,3UEZ
P09603,3UF2
P09603,4ADF
P09603,4FA8
P09603,4WRL
P09603,4WRM
P09603,5LXF
P15509,4NKQ
P15509,4RS1
Q99062,2D9Q
Q96PZ7,2EHF
Q6UVK1,7ML7
Q6UVK1,7N8X
Q6UVK1,7N9Y
Q8WWI5,7WWB
P16410,1AH1
P16410,1H6E
P16410,1I85
P16410,1I8L
P16410,2X44
P16410,3BX7
P16410,3OSK
P16410,5GGV
P16410,5TRU
P16410,5XJ3
P16410,6RP8
P16410,6RPJ
P16410,6RQM
P16410,6XY2
P16410,7CIO
P16410,7DV4
P16410,7ELX
P16410,7SU0
P16410,7SU1
P16410,8HIT
O60931,8DKE
O60931,8DKI
O60931,8DKM
O60931,8DKW
O60931,8DKX
O60931,8DYP
P49238,7XBW
P49238,7XBX
P17302,2LL2
P17302,7F92
P17302,7F93
P17302,7F94
P17302,7XQ9
P17302,7XQB
P17302,7XQD
P17302,7XQF
P17302,7XQG
P17302,7XQH
P17302,7XQI
P17302,7XQJ
P17302,7Z1T
P17302,7Z22
P17302,7Z23
P78310,1EAJ
P78310,1F5W
P78310,1JEW
P78310,1KAC
P78310,1P69
P78310,1P6A
P78310,1RSF
P78310,2J12
P78310,2J1K
P78310,2NPL
P78310,2W9L
P78310,2WBW
P78310,3J6L
P78310,3J6M
P78310,3J6N
P78310,3J6O
P78310,7DPZ
P78310,7DQ1
P78310,7VXZ
P78310,7VYK
P78310,7VYL
P78310,7VYM
P78310,7W14
P08034,5KK9
P29033,2ZW3
P29033,3IZ1
P29033,3IZ2
P29033,5ER7
P29033,5ERA
P29033,5KJ3
P29033,5KJG
P29033,6UVR
P29033,6UVS
P29033,6UVT
P29033,7QEO
P29033,7QEQ
P29033,7QER
P29033,7QES
P29033,7QET
P29033,7QEU
P29033,7QEV
P29033,7QEW
P29033,7QEY
P25024,1ILP
P25024,1ILQ
P25024,2LNL
P25024,6XMN
P25025,4Q3H
P25025,5TYT
P25025,6KVA
P25025,6KVF
P25025,6LFM
P25025,6LFO
P61073,2K03
P61073,2K04
P61073,2K05
P61073,2N55
P61073,3ODU
P61073,3OE0
P61073,3OE6
P61073,3OE8
P61073,3OE9
P61073,4RWS
Q9UKL4,2N6A
Q9UKL4,7XKI
Q9UKL4,7XKT
Q9UKL4,7XNH
Q9UKL4,7XNV
Q9UKL4,8HKP
Q8NFK1,6L3T
Q8NFK1,6L3U
Q8NFK1,6L3V
P04839,3A1F
P04839,7U8G
P04839,8GZ3
P08174,1H03
P08174,1H04
P08174,1H2P
P08174,1H2Q
P08174,1M11
P08174,1NWV
P08174,1OJV
P08174,1OJW
P08174,1OJY
P08174,1OK1
P08174,1OK2
P08174,1OK3
P08174,1OK9
P08174,1UOT
P08174,1UPN
P08174,2C8I
P08174,2QZD
P08174,2QZF
P08174,2QZH
P08174,3IYP
P08174,3J24
P08174,5FOA
P08174,6ILJ
P08174,6ILK
P08174,6LA5
P08174,7C9W
P08174,7DO4
P08174,7VY5
P08174,7VY6
Q14118,1EG4
Q14118,2MK7
Q14118,5GGP
Q14118,5LLK
Q14118,6JJY
Q14118,7E9K
Q14118,7E9L
P43146,2ED7
P43146,2ED8
P43146,2ED9
P43146,2EDB
P43146,2EDD
P43146,2EDE
P43146,3AU4
P43146,4URT
P43146,5X83
Q08345,3ZOS
Q08345,4AG4
Q08345,4BKJ
Q08345,4CKR
Q08345,5BVK
Q08345,5BVN
Q08345,5BVO
Q08345,5BVW
Q08345,5FDP
Q08345,5FDX
Q08345,5SAU
Q08345,5SAV
Q08345,5SAW
Q08345,5SAX
Q08345,5SAY
Q08345,5SAZ
Q08345,5SB0
Q08345,5SB1
Q08345,5SB2
Q08345,6BRJ
Q08345,6BSD
Q08345,6FEW
Q08345,6FEX
Q08345,6FIL
Q08345,6FIN
Q08345,6FIO
Q08345,6FIQ
Q08345,6GWR
Q08345,6HP9
Q08345,6Y23
Q08345,7BCM
Q08345,7BE6
Q08345,7FEH
Q16832,2WUH
Q16832,2Z4F
Q16832,6FER
